filename,state,condition,truth,prediction,plate_confidence,decision,segmentation_ok,plate_correct,char_total,char_correct
florida_0000_clean.png,florida,clean,AXI332,1332,0.7644017934799194,MANUAL-ENTRY,False,False,0,0
florida_0001_light_blur.png,florida,light_blur,ROE624,R0E624,0.5270013809204102,MANUAL-ENTRY,True,False,6,5
florida_0002_low_contrast.png,florida,low_contrast,VMV2T9,VMV2T9,0.9468718767166138,HUMAN-REVIEW,True,True,6,6
florida_0003_rotated.png,florida,rotated,OHY7S9,0HY7S9,0.5175713896751404,MANUAL-ENTRY,True,False,6,5
florida_0004_clean.png,florida,clean,GQL977,GQL977,0.9578108787536621,AUTO-ACCEPT,True,True,6,6
florida_0005_light_blur.png,florida,light_blur,OLV496,0LV496,0.527015209197998,MANUAL-ENTRY,True,False,6,5
florida_0006_low_contrast.png,florida,low_contrast,EFY901,EFY9O1,0.5151229500770569,MANUAL-ENTRY,True,False,6,5
florida_0007_rotated.png,florida,rotated,JZZ735,JZZ735,0.6892507672309875,MANUAL-ENTRY,True,True,6,6
florida_0008_clean.png,florida,clean,IYI739,1Y1739,0.7644017934799194,MANUAL-ENTRY,True,False,6,4
florida_0009_light_blur.png,florida,light_blur,WSJ7A5,WSJ7A5,0.9944350719451904,AUTO-ACCEPT,True,True,6,6
florida_0010_low_contrast.png,florida,low_contrast,SDB883,SDB883,0.9952278137207031,AUTO-ACCEPT,True,True,6,6
florida_0011_rotated.png,florida,rotated,EXR728,EXR728,0.9976233839988708,AUTO-ACCEPT,True,True,6,6
florida_0012_clean.png,florida,clean,ZML1S3,ZML1S3,0.5630571246147156,MANUAL-ENTRY,True,True,6,6
florida_0013_light_blur.png,florida,light_blur,GZX959,G959,0.9497467875480652,HUMAN-REVIEW,False,False,0,0
florida_0014_low_contrast.png,florida,low_contrast,BHC617,BHC617,0.4451420307159424,MANUAL-ENTRY,True,True,6,6
florida_0015_rotated.png,florida,rotated,BTT934,BTT934,0.881007969379425,HUMAN-REVIEW,True,True,6,6
florida_0016_clean.png,florida,clean,FLM5F7,FLM5F7,0.9935027956962585,AUTO-ACCEPT,True,True,6,6
florida_0017_light_blur.png,florida,light_blur,BZZ965,B965,0.5432223677635193,MANUAL-ENTRY,False,False,0,0
florida_0018_low_contrast.png,florida,low_contrast,YBA225,YBA225,0.9911648631095886,AUTO-ACCEPT,True,True,6,6
florida_0019_rotated.png,florida,rotated,IYZ244,1YZ244,0.7547283172607422,MANUAL-ENTRY,True,False,6,5
florida_0020_clean.png,florida,clean,IDG975,1DG975,0.7561061978340149,MANUAL-ENTRY,True,False,6,5
florida_0021_light_blur.png,florida,light_blur,QNL0W8,QNLOW8,0.5441917181015015,MANUAL-ENTRY,True,False,6,5
florida_0022_low_contrast.png,florida,low_contrast,PRB8L6,PRB8L6,0.5358753204345703,MANUAL-ENTRY,True,True,6,6
florida_0023_rotated.png,florida,rotated,JUX8Z4,JUX8Z4,0.8446928858757019,HUMAN-REVIEW,True,True,6,6
florida_0024_clean.png,florida,clean,RXR619,R619,0.48865213990211487,MANUAL-ENTRY,False,False,0,0
california_0000_clean.png,california,clean,2GQO800,2GQ08OO,0.5239413380622864,MANUAL-ENTRY,True,False,7,4
california_0001_light_blur.png,california,light_blur,ONO1990,ONO199O,0.5033570528030396,MANUAL-ENTRY,True,False,7,6
california_0002_low_contrast.png,california,low_contrast,8LRK424,8LRK424,0.9813985228538513,AUTO-ACCEPT,True,True,7,7
california_0003_rotated.png,california,rotated,8TCH718,8TCH718,0.6755692362785339,MANUAL-ENTRY,True,True,7,7
california_0004_clean.png,california,clean,UGF8063,UGF8O63,0.5228124856948853,MANUAL-ENTRY,True,False,7,6
california_0005_light_blur.png,california,light_blur,9RHC687,9RHC687,0.8283794522285461,HUMAN-REVIEW,True,True,7,7
california_0006_low_contrast.png,california,low_contrast,BEV8140,BEV814O,0.5361590385437012,MANUAL-ENTRY,True,False,7,6
california_0007_rotated.png,california,rotated,9GFV501,9GFV5O1,0.5450778007507324,MANUAL-ENTRY,True,False,7,6
california_0008_clean.png,california,clean,KSD7135,KSD7135,0.6572418808937073,MANUAL-ENTRY,True,True,7,7
california_0009_light_blur.png,california,light_blur,KSC1238,KSC1238,0.7067999839782715,MANUAL-ENTRY,True,True,7,7
california_0010_low_contrast.png,california,low_contrast,3YMC032,3YMCO32,0.5535915493965149,MANUAL-ENTRY,True,False,7,6
california_0011_rotated.png,california,rotated,0LIL228,OL1L228,0.5052337646484375,MANUAL-ENTRY,True,False,7,5
california_0012_clean.png,california,clean,DTN1159,DTN1159,0.6388534307479858,MANUAL-ENTRY,True,True,7,7
california_0013_light_blur.png,california,light_blur,RWW7681,R7681,0.7067999839782715,MANUAL-ENTRY,False,False,0,0
california_0014_low_contrast.png,california,low_contrast,WWO9599,09599,0.5219353437423706,MANUAL-ENTRY,False,False,0,0
california_0015_rotated.png,california,rotated,XAP5536,P5536,0.6419752836227417,MANUAL-ENTRY,False,False,0,0
california_0016_clean.png,california,clean,NDH3155,NDH3155,0.6556021571159363,MANUAL-ENTRY,True,True,7,7
california_0017_light_blur.png,california,light_blur,WJQ8694,JQ8694,0.918848991394043,HUMAN-REVIEW,False,False,0,0
california_0018_low_contrast.png,california,low_contrast,VOE9420,V0E942O,0.5279072523117065,MANUAL-ENTRY,True,False,7,5
california_0019_rotated.png,california,rotated,ATH1418,ATH1418,0.6822525262832642,MANUAL-ENTRY,True,True,7,7
california_0020_clean.png,california,clean,JPC6392,JPC6392,0.6015637516975403,MANUAL-ENTRY,True,True,7,7
california_0021_light_blur.png,california,light_blur,XFU4042,XFU4O42,0.5657575726509094,MANUAL-ENTRY,True,False,7,6
california_0022_low_contrast.png,california,low_contrast,SQJ3624,SQJ3624,0.661109209060669,MANUAL-ENTRY,True,True,7,7
california_0023_rotated.png,california,rotated,WON8342,0N8342,0.5085127353668213,MANUAL-ENTRY,False,False,0,0
